id,name,category,brand,price,salePrice,image,stock,description
77,Maraschino Slip Dress,Dresses,MySkyBuy,12900,6400,https://offe.market/cdn/shop/files/MaraschinoSlipDressFront.jpg?v=1766174288,25,"Slip mini dress covered in glossy cherry prints, trimmed with red lace at the bust and hem, with a soft flared skirt and a leg slit finished in a bow."
78,Natasha Strapless Jacquard Maxi Dress,Dresses,MySkyBuy,16400,7450,https://offe.market/cdn/shop/files/J0787_FRONT.png?v=1783429446,25,"Strapless jacquard maxi dress with a ruched fitted bodice and drop-waist silhouette flowing into a full-length skirt, made for evening events."
79,Victoria Dress - Green/White,Dresses,MySkyBuy,5999,4499,https://offe.market/cdn/shop/files/VictoriaDress.jpg?v=1752179025,25,"100% cotton mini dress with an eyelet cotton bust finished with a white bow, set above a soft Cupro jersey skirt."
80,Mari Mesh Dress,Dresses,MySkyBuy,18700,6000,https://www.saemdi.com/cdn/shop/files/redflowermeshfront_2048x2048.png?v=1759930631,25,"Fitted mesh dress with an asymmetric waterfall neckline and hem, adjustable shoulder straps and a soft frill detail at the side for movement."
81,Embroidered Silk Saree - Wine,Sarees,MySkyBuy,6532,4899,https://cdn.shopify.com/s/files/1/0049/3649/9315/files/SAUS0048029_WINE_17627_800x800.jpg?v=1769509987&width=480,25,Premium wine silk saree with refined embroidered detailing for festive and occasion wear.
82,Organza Floral Saree - Ivory,Sarees,MySkyBuy,6132,4599,https://www.indeloom.com/cdn/shop/products/RBPY6929copy.jpg?v=1755840967,25,Premium ivory organza saree with delicate floral styling for elegant celebrations.
83,Chanderi Silk Saree - Rose,Sarees,MySkyBuy,7065,5299,https://www.rootshandloom.com/cdn/shop/files/8DB5E37F-4EFA-4420-8C54-2A817E56A84D.jpg?v=1735797635&width=990,25,Premium rose Chanderi silk saree with a lightweight graceful drape.
84,Embroidered Anarkali - Maroon,Ethnic Wear,MySkyBuy,5599,4199,https://varanga.in/cdn/shop/files/7_44bcb231-7c47-456d-ab91-0f4c4c827662.jpg?v=1784039216,25,Premium maroon Anarkali suit with an elegant flare and embroidered finish.
85,Sharara Set - Dusty Pink,Ethnic Sets,MySkyBuy,5465,4099,https://rahulmishra.in/cdn/shop/files/1_18a2988c-656b-4382-8e1e-cedbcf7f0d4f.jpg?v=1778760595&width=1080,25,Premium dusty-pink sharara set designed for festive and party occasions.
86,Rose Gold Lehenga Choli,Ethnic Sets,MySkyBuy,6665,4999,https://www.ethnicplus.in/cdn/shop/files/stunning-rose-gold-embroidered-net-wedding-wear-lehenga-choli-2036455.jpg?v=1780675749,25,Premium rose-gold lehenga choli set with an occasion-ready silhouette.
87,Satin Slip Midi Dress - Champagne,Dresses,MySkyBuy,4532,3399,https://justinwhyte.com/cdn/shop/files/New_folder_3__1B9A2546.jpg?v=1732637546&width=980,25,Premium champagne satin midi dress with a fluid elegant silhouette.
88,Pleated Chiffon Maxi Dress - Sage,Dresses,MySkyBuy,4932,3699,https://shopscarletsage.com/cdn/shop/files/SSMAY2026_05_207254copy.jpg?v=1785562236,25,Premium sage pleated chiffon maxi dress with a flowing feminine fit.
89,Tailored Blazer - Ivory,Outerwear,MySkyBuy,6532,4899,https://m.media-amazon.com/images/I/51DTQBfWumL._SY741_.jpg,25,Premium ivory tailored blazer with a structured polished silhouette.
90,High-Rise Flare Jeans - Indigo,Jeans,MySkyBuy,3732,2799,https://levi.in/cdn/shop/files/006QY0000_01_Styleshot.jpg?v=1765879193,25,Premium high-rise indigo flare jeans with a contemporary leg shape.
91,Satin Cowl-Neck Blouse - Champagne,Blouses,MySkyBuy,2799,2099,https://m.media-amazon.com/images/I/413pcRnnYZL.jpg,25,Premium champagne satin blouse with an elegant cowl neckline.
92,Pleated Midi Skirt - Black,Skirts,MySkyBuy,2799,2099,https://www.forevernew.co.in/cdn/shop/files/29602902_f_1.jpg?v=1782061313&width=1200,25,Premium black pleated midi skirt with a graceful structured fall.
93,Classic Printed Saree Set,Sarees,PUNIT BALANA,47500,33250,https://cdn.shopify.com/s/files/1/0826/3345/7943/files/GGSHOOT000993.jpg?v=1770017032,25,"Classic printed mist-blue organza saree set with saree, blouse and skirt."
94,Yashika Women's Banarasi Kanjivaram Cotton Silk Saree With Unstitched Blouse Material,Sarees,MRUNALINI RAO,118000,82600,https://cdn.shopify.com/s/files/1/0764/5190/5843/files/MR_884_b786fe0f-3a9f-4034-a65c-5475e0d45940.jpg?v=1764322771,25,Chiffon ruffle saree paired with a raw-silk corset with hand embroidery and an in-skirt.
95,SGF11 Women's Kanjivaram Soft Silk Saree With Blouse Piece,Sarees,NAINA JAIN,175000,122500,https://cdn.shopify.com/s/files/1/0255/8597/5393/files/096A8840.jpg?v=1768038307,25,Rich purple Kanjeevaram silk saree with pure zari leaf motifs and a woven blouse piece.
96,SGF11 Women's Kanjivaram Soft Silk Saree With Blouse Piece,Sarees,JAYANTI REDDY,199900,139930,https://cdn.shopify.com/s/files/1/0717/0621/4684/files/JayantiReddy05-02-264126.jpg?v=1772520217,25,Bottle-green silk-base saree with hand-embroidered border and zardozi blouse.
97,SARMAYA Black Chiffon Saree,Sarees,RASHIKA MITTAL,35100,24570,https://cdn.shopify.com/s/files/1/0697/3446/5777/files/Rashikamittal13661.jpg?v=1772094281,25,Black chiffon designer saree with floral mirror-work embroidered border.
98,AKHILAM Women's Organza Floral Embroidered Work Saree With Unstitched Blouse Piece,Dresses,NICOBAR,5250,3150,https://rukminim2.flixcart.com/image/1280/1280/xif0q/dress/t/w/c/xxl-ahdr86-autumn-hues-original-imah4zj9chqfh53q.jpeg?q=90,25,Grey cotton melange jersey fit-and-flare dress with a sleek long-sleeve silhouette.
99,Off White Hand Block Printed A-Line Kurta Set,Ethnic Sets,UPAVITA,6665,4999,https://cdn.shopify.com/s/files/1/0822/7654/8912/files/26th_Nov_20250568.jpg?v=1770015266,25,Off-white hand-block printed A-line short kurta set with all-over multicoloured floral pattern.
100,Navy Satin Kurta Set with Floral Embroidery,Ethnic Sets,RASHIKA MITTAL,6665,4999,https://cdn.shopify.com/s/files/1/0697/3446/5777/files/Rashikamittal12566.jpg?v=1772092534,25,Navy satin kurta set with floral embroidery and a refined festive silhouette.
101,"BIDDAZEL Women's Ikkat Floral Print Soft Satin Silk Saree With Unstitched Blouse Piece, Grey",Ethnic Sets,DEEP THEE,74800,52360,https://cdn.shopify.com/s/files/1/0564/0427/9485/files/10_aabf5674-f8fc-4b79-a6f6-ce868df44950.png?v=1727284882,25,"Olive silk A-line kurta set with aari and moti embroidery, straight pants and organza dupatta."
102,C J Enterprise Women's Banarasi Saree Pure Kanjivaram Style Silk Saree With Blouse Piece for Wedding ,Ethnic Sets,Ridhi Mehra,84300,59010,https://cdn.shopify.com/s/files/1/1799/4587/files/4_83e54d2d-1194-4f75-b190-92a49b90e4db.jpg?v=1753093346,25,"Royal-fuchsia organza kurta with all-over embroidery, silk salwar and embroidered silk dupatta."
103,Libas Pink Printed Cotton Anarkali Kurta Set,Ethnic Wear,LIBAS,3499,1459,https://www.libas.in/cdn/shop/files/5_0fe67941-2028-4be5-b768-19240cb4f312.jpg?v=1756098659,0,"Pink pure-cotton A-line Anarkali kurta set with floral print, statement yoke, straight pants and dupatta."
104,Gerua Orange Floral Printed Cotton Blend Straight Suit Set,Ethnic Sets,GERUA,3499,1099,https://www.libas.in/cdn/shop/files/GS1613_Main.jpg?v=1782796215,0,"Orange floral printed three-piece cotton-blend straight suit with embroidered yoke, trousers and coordinated dupatta."
105,Libas Pink Printed Cotton Anarkali Kurta With Palazzos,Ethnic Wear,LIBAS,2599,749,https://www.libas.in/cdn/shop/files/pink-printed-cotton-anarkali-kurta-with-palazzos-libas-1-27529740812438.jpg?v=1752301840,0,"Pink cotton Anarkali kurta with printed motifs, Gota Patti detailing and matching palazzo pants."
106,Libas Off-White Yoke Design Cotton Straight Kurta With Palazzos & Dupatta,Ethnic Sets,LIBAS,4999,1949,https://www.libas.in/cdn/shop/files/off-white-yoke-design-cotton-straight-kurta-with-palazzos-and-dupatta-libas-1-27530691707030.jpg?v=1756186002,0,"Three-piece off-white floral embroidered cotton suit with straight kurta, embroidered palazzos and matching dupatta."
107,Libas Blue Printed Cotton Straight Kurta With Trousers and Dupatta,Ethnic Sets,LIBAS,3499,999,https://www.libas.in/cdn/shop/files/blue-printed-cotton-straight-kurta-with-trousers-and-dupatta-libas-1-27531561599126.jpg?v=1756116443,0,"Blue Bandhani-print cotton three-piece suit with straight kurta, Leheriya-inspired trousers and matching dupatta."
108,Libas Blue Printed Cotton Straight Kurta With Trousers & Dupatta,Ethnic Sets,LIBAS,2999,1299,https://www.libas.in/cdn/shop/files/blue-printed-cotton-straight-kurta-with-trousers-and-dupatta-libas-1-27530885234838.jpg?v=1756184416,0,"Blue printed cotton straight kurta set with trousers and matching dupatta, finished with Gotta Patti and fabric-trim detailing."
109,Libas Off White Printed Cotton A-Line Kurta With Palazzos & Dupatta,Ethnic Sets,LIBAS,4499,1659,https://www.libas.in/cdn/shop/files/1_eeb0072a-80c8-47cb-8336-2cdac7e23075.jpg?v=1756102684,0,"Off-white pure-cotton A-line suit with floral print, mirror and thread work, printed palazzos and dupatta."
110,Libas Blue Printed Cotton Straight Kurta With Trousers & Dupatta - 34182,Ethnic Sets,LIBAS,3299,889,https://www.libas.in/cdn/shop/files/blue-printed-cotton-straight-kurta-with-trousers-and-dupatta-libas-2-27531347230870.jpg?v=1756119582,0,"Blue printed cotton straight-fit kurta set with tie-up neckline, trousers and matching dupatta."
111,Libas Blue Printed Cotton Straight Kurta With Trousers & Dupatta - 34292,Ethnic Sets,LIBAS,2999,849,https://www.libas.in/cdn/shop/files/blue-printed-cotton-straight-kurta-with-trousers-and-dupatta-libas-1-27531430068374.jpg?v=1756117279,0,"Blue printed cotton straight suit with chevron-print trousers and matching dupatta, designed for work and everyday wear."
112,Libas Blue Embroidered Cotton Straight Suit Set With Dupatta,Ethnic Sets,LIBAS,3999,2219,https://www.libas.in/cdn/shop/files/51239_7MainBlueEmbroideredCottonStraightSuitSetWithDupatta.jpg?v=1761023996,0,"Blue cotton straight suit with floral embroidery, statement yoke, straight pants and printed dupatta."
113,Libas Rust Cotton Anarkali Suit Set with Dupatta,Ethnic Sets,LIBAS,3999,1959,https://www.libas.in/cdn/shop/files/rust-cotton-anarkali-suit-set-with-dupatta-93276_b844dd8d-0f9f-4640-b117-9f1b0618a9ec.jpg?v=1772772227,25,"Rust cotton Anarkali suit with mandarin collar, statement yoke, straight pants and printed dupatta in an Ajrakh-inspired style."
114,Libas Pink Printed Cotton Anarkali Suit Set With Dupatta,Ethnic Sets,LIBAS,2599,1939,https://www.libas.in/cdn/shop/files/pink-printed-cotton-anarkali-suit-set-with-dupatta-93090_8f6bcc3f-1ada-457d-9fc1-dc92e5dbcbae.jpg?v=1772772156,25,"Pink cotton Anarkali suit with V-neckline, statement yoke, straight pants and embroidered dupatta."
115,Textured jersey top,Tops,Xellbuy,1999,599,https://image.hm.com/assets/hm/9a/e6/9ae68a7d000df99dff188ccf21e501d0ebe9d9cb.jpg?imwidth=2160,100,"Fitted top in textured jersey with a round neckline and cap sleeves. Gathers at one side of the waist to create a gently draped effect.Composition Polyester 98%, Elastane 2% Care instructions Wash with similar colours Only non-chlorine bleach when needed Line dry No iron Machine wash at 40° Can be dry cleaned Bring your clean, previously loved clothing or textiles to one of our stores — they can be from any brand.  Material: Jersey Materials in this product explained Elastane Elastane is an elastic synthetic fibre made from oil (a fossil resource). Polyester Polyester is a synthetic fibre made from crude oil (a fossil resource)."
116,Essential Solids: Hot Pink,Tops,Xellbuy,1599,599,https://prod-img.thesouledstore.com/public/theSoul/uploads/catalog/product/1706762989_8929498.jpg?w=1100&dpr=2,30,"Style your wardrobe with this classic ribbed cropped top. Wear it to a casual workday, party, or for a night-in with your friends - this top is the universal answer to ""What should I wear?""  Shop for this solid hot pink top online, available exclusively at The Souled Store."
117,Women's Striped Slim Fit Ribbed Top,Tops,Xellbuy,999,699,https://levi.in/cdn/shop/files/A91990027_01_Styleshot.jpg?v=1771398378,198,"Let this Levi's crew neck top do the talking whether you go to a park or a music festival. A slim fit top with subtle details and striped pattern, it will garner all the attention, no matter where you wear it.  1. Made from high-quality polyester blend 2. Pair it with a stylish pair of high-heeled wedges or trainers. 3. Smart half sleeves"
118,Women's Solid Slim Fit Ribbed Top,Tops,xellbuy,1499,799,https://levi.in/cdn/shop/files/005XV0001_01_Styleshot.jpg?v=1773057510,200,"Let this Levi's square neck top do the talking whether you go to a park or a music festival. A slim fit top with subtle details and solid pattern, it will garner all the attention, no matter where you wear it.  1. Made from high-quality cotton blend 2. Pair it with a stylish pair of high-heeled wedges or trainers. 3. Smart short sleeves"
119,Women's Solid Slim Fit Ribbed Top,Tops,Xellbuy,1299,999,https://levi.in/cdn/shop/files/008LP0000_01_Styleshot.jpg?v=1783260723,70,"For brilliant basics, look no further. This slim fit top by Levi's offers a wow effect. The square neck and sleeveless sleeves take this piece from simple to stylish. Made from lyocell, viscose, this t-shirt is soft and comfortable  1. The square neck offers casual-cool style 2. A solid pattern top in a slim fit 3. Upgrade your look by pairing it with the 501 jeans and boots."
120,"Layered Tank Top, Sleeveless Casual Wear, Double Layer Design",Layering,xellbuy,1299,999,https://m.media-amazon.com/images/I/61f3pFAftkL._SY879_.jpg,100,"DESIGN FEATURES: Stylish double-layer tank top with a flowy silhouette, featuring a scoop neckline and sleeveless cut for maximum comfort LAYERED CONSTRUCTION: Two-tiered design creates an elegant, cascading effect that adds movement and sophistication to the basic tank top VERSATILE STYLING: Perfect for casual or dressy occasions - pairs beautifully with jeans, trousers, skirts, or shorts FABRIC QUALITY: Soft, lightweight material ensures breathable comfort while maintaining shape throughout the day EASY CARE: Simple maintenance with machine washable fabric that retains its colour and shape after multiple washes"
121,"Enamor E025 Essentials Stay New Slim Fit Soft, Naturally Breathable Cotton Fabric Tank Top For Women",Layering,xellbuy,999,799,https://m.media-amazon.com/images/I/51W9qn0iHYL._SX679_.jpg,198,Material: Cotton Color: Black Fit Type: Regular Fit; Neck Style: Round Neck; Type of Sleeves: Sleeveless Occasion Type: Casual Included Items: 1 Tank Top Care Instructions: Hand Wash
122,Jockey A113 Women Super Combed Cotton Rib Fabric Slim Fit Solid Tank Top,Layering,xellbuy,999,699,https://m.media-amazon.com/images/I/61efcXZ3wZL._SX679_.jpg,100,Style Number - A113 | 100% Super Combed Cotton Rib Fabric | Fabric Composition : Cotton Round Neck Label Free for All Day Comfort Gentle wash 40°C; Do not bleach; Do not wring; Line dry in shade; Low iron; Do not dry clean; Wash inside out with like colours. Do not iron on label;
123,"Enamor E025 Essentials Stay New Slim Fit Soft, Naturally Breathable Cotton Fabric Tank Top For Women",Layering,xellbuy,998,894,https://m.media-amazon.com/images/I/71ebS1pKLcL._SY879_.jpg,199,"Fabric: Soft, naturally breathable cotton fabric. Specially finished fabric retains the newness even after several washes Double scoop neckline to layer or wear as outerwear Style Tip: Pair it with Enamor Essentials’ Basic Shorts, Jersey Shorts, Lounge Capri, City Shorts, Shop In Culotte, Lounge Jogger, Lounge Pants or Shop In Pants"
124,Mlada Cotton Ribbed Knit Tops for Women with Non Transparent Fabric,Layering,xellbuy,999,899,https://m.media-amazon.com/images/I/41rGmSxdyuL.jpg,97,"Luxurious Fabric: Made from 100% high-quality stretchable cotton, offering unmatched comfort and breathability for all-day wear. Versatile Design: The racerback and round neck design make this crop top perfect for casual outings, formal events, and everything in between. Flattering Fit: The ribbed knit texture and cropped silhouette enhance your natural shape, providing a stylish and confident look. Trendy Color Options: Available in a variety of up-to-date, fashionable colors to suit any personal style and occasion."
125,Rock Paper Scissors Womens Tank,Layering,xellbuy,999,799,https://m.media-amazon.com/images/I/81-4bYP89oL._SX679_.jpg,100,"Cropped ribbed top by Rock Paper Scissors is a perfect casual wear.you can wear them as it is or under a jacket this stylish crop top will never fail to impress people around you.. The cloth used in this womens top is ribbed cotton lycra fabric which is soft on skin, of lightweight and is elastic.So you Can Be Stylish in these Super Comfortable Womens Tops These one shoulder tank tops are available in a wide range of up-to-date trendy colors.; We believe in delivering stylish Products to all shapes and sizes therfore these trendy womens tops are Available in plus sizes from XS upto 4XL."
126,Mlada Cotton Ribbed Knit Tops for Women with Non Transparent Fabric ,Layering,xellbuy,999,799,https://m.media-amazon.com/images/I/41orzQ+jUSL.jpg,100,"Modern Design: Introducing Mlada's Rib Knitted Sleeveless Tank Top, your go-to-choice for every occasion. Crafted from high quality cotton, this cropped tank top has a sleek racerback design and round neck make it perfect for layering under a jacket or wearing on its own. Perfect for Summer: Beat the heat in style with this lightweight and breathable crop top. Its sleeveless design and non-transparent fabric make it ideal for hot summer days and nights."
127,SANNIDHI® Plus Size Crochet Tops for Woman Cotton,Layering,xellbuy,1199,899,https://m.media-amazon.com/images/I/61ceprIYe+L._SX679_.jpg,197,"COTTON HOLLOW OUT FLORAL CROCHET TOP: This crochet tops for women stylish coverups blends breathable cotton fabric with a delicate hollow out floral design, creating a lightweight and airy summer essential. Its loose fit and sheer knit construction make it perfect for layering at the beach or pairing with casual vacation outfits, offering effortless warm weather versatility. LOOSE AND RELAXED FIT: Designed with comfort in mind, this crochet top features a naturally loose silhouette that drapes beautifully over the body. The relaxed style enhances ease of movement and makes it ideal for hot days when you want clothing that feels cool, unrestrictive, and flattering on a variety of body shapes."
128,SANNIDHI® Women's Lace Beach Cover,Layering,xellbuy,1199,999,https://m.media-amazon.com/images/I/51TBn7xmvoL._SX679_.jpg,78,"INTRICATE LACE EMBROIDERY BEACH COVER: Delicately crafted with floral lace embroidery on a sheer mesh fabric, this tunic exudes feminine charm. The fine detailing enhances its romantic boho style, offering a graceful, high-end look that captures both elegance and ease, perfect for seaside strolls, tropical getaways, or lounging by the pool. LIGHT AND AIRY SILHOUETTE: Designed with a loose, flowy fit and mini-length hem, the cover-up provides a breezy layer that keeps you cool while maintaining subtle coverage. Its relaxed shape moves beautifully with the body, giving a flattering, carefree appearance ideal for sunny days at the beach or resort."
129,SANNIDHI® Bikini Beach Cover,Layering,xellbuy,1199,899,https://m.media-amazon.com/images/I/61bxjJwzovL._SX679_.jpg,99,"ELEGANT CROCHET BEACH DRESS: This stylish and versatile women's summer crochet swimsuit cover-up is a must-have for the summer season. Featuring a V-neck design and openwork knit pattern, it can be worn as a casual everyday dress or as a fashionable beach cover-up, perfectly blending comfort, femininity, and a relaxed summer vibe. SOFT KNIT FABRIC: This crocheted beach dress is made from high-quality knit fabric, which is soft and gentle on the skin, lightweight, and breathable. The premium fabric ensures comfort in hot weather, resists wrinkles, and maintains its shape, making it ideal for extended wear on sunny days."
130,Crochet Knit Beach Cover Up Dress for Women,Layering,xellbuy,1199,999,https://m.media-amazon.com/images/I/61BbNM6bCzL._SY879_.jpg,101,Lightweight breathable crochet knit cover up ideal for beach and resort wear Flattering deep V neckline enhances feminine silhouette Soft stretch waistband for comfortable contouring fit Intricate open knit texture adds premium handcrafted look Perfect to layer over swimwear for poolside or vacation styling
131,SANNIDHI® Crochet Cover Up for Women Loose Fit Beach Cover ,Layering,xellbuy,2299,1999,https://m.media-amazon.com/images/I/61lveDmP61L._SX679_.jpg,100,"BOHO CROCHET BEACH COVER-UP TOP: This stylish crochet beach wear dress for women is designed for women seeking a chic yet effortless summer look. Featuring a boho-inspired hollow-out pattern and flattering V-neck, it offers breathable comfort and relaxed elegance, making it ideal for beach days, pool lounging, vacations, or tropical getaways. BREATHABLE HOLLOW-OUT CROCHET DESIGN: The intricate hollow-out crochet construction promotes excellent airflow, keeping you cool and comfortable in warm weather. Lightweight and breathable design, this beach dress for woman is perfect for layering over"
132,Imported Organza blouse For Women,Blouses,xellbuy,2998,2599,https://images.meesho.com/images/products/681253334/civca_512.avif?width=512,101,"Imported Organza blouse For Women, Zimmy Choo Fabric Blouse For Women, Readymade Blouse, Full Stitched blouse, Fancy Tie On Sleeve, Puff Sleeve Blouse"
133,"Full sleeve stylist blouse,",Blouses,xellbuy,2599,1994,https://images.meesho.com/images/products/582209005/5lgrg_512.avif?width=512,101,"Full sleeve stylist blouse, party wear blouse for women, full stitched blouse,Trendy Zimii choo Organza Silk Ruffle Balloon Puff Sleeve V Neck Party wear Blouse, Soft Organza Fabric Balloon Type Sleeve Blouse."
134,Solid Imported Organza blouse,Blouses,xellbuy,1999,1699,https://images.meesho.com/images/products/395929121/itr2n_512.avif?width=512,899,"Solid Imported Organza blouse, full sleeve stylist blouse, party wear blouse for women, full stitched blouse,Trendy Zimichoo Organza Silk Ruffle Balloon Puff Sleeve V Neck Party wear BlouseSoft Organza Fabric Balloon Type Sleeve Blouse"
135,Yellow Pure Viscose Silk Woven Blouse,Blouses,xellbuy,2999,2593,https://www.taneira.com/dw/image/v2/BKMH_PRD/on/demandware.static/-/Sites-Taneira-product-catalog/default/dw554f877a/images/Taneira/Catalog/BLAQ04XY_1.jpg?sw=1000&sh=1500?aio=w-1000&sw=1000&sh=1500,100,"Full sleeve stylist blouse, party wear blouse for women, full stitched blouse,Trendy Zimii choo Organza Silk Ruffle Balloon Puff Sleeve V Neck Party wear Blouse, Soft Organza Fabric Balloon Type Sleeve Blouse."
136,Dark Blue Viscose Embroidered Blouse,Blouses,xellbuy,2999,2499,https://www.taneira.com/dw/image/v2/BKMH_PRD/on/demandware.static/-/Sites-Taneira-product-catalog/default/dw99126a35/images/Taneira/Catalog/BLAQ66DB_1.jpg?sw=1000&sh=1500?aio=w-1000&sw=1000&sh=1500,101,"stylist blouse, party wear blouse for women, full stitched blouse,Trendy Zimii choo Organza Silk Ruffle Balloon Puff Sleeve V Neck Party wear Blouse, Soft Organza Fabric Balloon Type Sleeve Blouse."
137,Black Viscose Woven Blouse,Blouses,xellbuy,2999,2599,https://www.taneira.com/dw/image/v2/BKMH_PRD/on/demandware.static/-/Sites-Taneira-product-catalog/default/dw32a300ee/images/Taneira/Catalog/BLAR13BK_1.jpg?sw=1000&sh=1500?aio=w-1000&sw=1000&sh=1500,200,"Latest Designer Embroidery With Stylist Blouse For Women, Stylist Net Blouse For Women, New Design Blouse Fancy Pattern With Net Blouse Full sleeve blouse"
138,Premium Cotton Skirt for Women,Skirts,xellbuy,2000,1999,https://www.jockey.in/cdn/shop/files/WZ29_IPBLACK_0101_S126_Jky_1.jpg?v=1781090645&width=560,100,Hi
139,Women's & Girls' Solid Basic V Neck,Blouses,xellbuy,2199,1999,https://m.media-amazon.com/images/I/618AzxjVqPL._SX679_.jpg,101,"Material: 95% Cotton 5% Spandex, Pattern: Solid Sleeve: Short Slevees, Neck: V Neck Fit Type: Slim Fit, Closure: Pull On Details: Crop Top, Ribbed, Solid, Puff Sleeves, Collared"
140,eck Ruched Front Puff Sleeve/Half,Blouses,xellbuy,2399,1999,http://m.media-amazon.com/images/I/71ax5jYRTYL._SY879_.jpg,101,"Materials: 95% Polyester, 5% Spandex; Stretchable Fabric Sleeve: Puff Sleeve; Neck Type: Square Neck Fit Type: Slim Fit; Pattern: Solid/Plain Collar Style: Collarless Sleeve Type: Half Sleeve; Occasion Type: Casual"
141,Readymade Women Cotton Blend Peacock Print Round Neck Short Sleeve Blouse,Blouses,xellbuy,2999,2199,https://m.media-amazon.com/images/I/41LPXlYTpyL.jpg,108,"Fabric: Made from soft cotton blend fabric for all-day comfort and durability Elegant Peacock Print: Beautiful peacock and floral back print adds a rich ethnic appeal Perfect Fit: Readymade blouse with comfortable stitching and easy body fit Stylish Design: Deep round back neck and short sleeves enhance the traditional look Occasion Ready: Ideal for sarees, lehengas, festive functions, weddings & parties"
142,Women's Kalamkari Stretchable Readymade Cotton Ajrakh Printed Saree Blouse,Blouses,xellbuy,2999,2598,https://m.media-amazon.com/images/I/71VuwCwjeFL._SY879_.jpg,102,Premium Stretchable Cotton Fabric: Crafted from soft and breathable stretchable cotton for enhanced comfort and flexibility throughout the day. Elegant katori cut Design: Tailored with a flattering katori cut that provides a stylish and well-fitted silhouette. Attractive Printed Pattern: Features a beautiful printed design that pairs effortlessly with a variety of sarees. Comfortable V-Neck & Elbow Sleeves: Designed with a graceful U-neck and elbow-length sleeves for a classic ethnic look.
